id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
935001353,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,cccfb8d3-6519-482e-8844-4b65865bdcbd,c495486f-0004-4d70-b72a-5fd29545b7db,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-22 03:05:44.115755,QT725AZVMVUKV69K,2025-10-22 03:05:44.115755,f,,,CM
935044925,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,ba82018a-b232-4d76-8c47-c06e2f7e538c,3e7e5c41-8c72-42dd-b30d-afa53bcf35d6,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-22 07:22:13.189891,QT725AZVMVUKV69K,2025-10-22 07:22:13.189891,f,,,
935122124,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,228327cc-0d10-48d3-b766-6e5722ac33ba,5217777a-44bc-46ae-98df-668ee6b676f8,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-22 10:25:50.347736,QT725AZVMVUKV69K,2025-10-22 10:25:50.347736,f,,,COR
935125954,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,6e9ab1e9-7f1b-46e6-9d84-b408877460b7,ff627e0a-bd6a-48b9-8ef7-3b389ddf91da,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-22 10:37:57.709965,QT725AZVMVUKV69K,2025-10-23 01:49:26.707447,f,,,COR
935122788,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,dea00930-a30e-49ab-9db4-f0aa1913db29,dd742702-1e46-4b22-bdd8-7bf5535832e9,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-22 10:28:32.970885,QT725AZVMVUKV69K,2025-10-23 01:49:26.707447,f,,,COR
938088912,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,209119e8-ae21-48e5-a9e0-eb5418e2300a,,,plangrid/pen,QT725AZVMVUKV69K,2025-10-23 04:57:55.424224,QT725AZVMVUKV69K,2025-10-23 04:57:55.424224,f,,,
938088914,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,783ce032-823a-427a-958e-a44b35b33643,,,plangrid/pen,QT725AZVMVUKV69K,2025-10-23 04:57:55.741783,QT725AZVMVUKV69K,2025-10-23 04:57:55.741783,f,,,
938088915,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,1d2b5897-bf4e-4076-a53b-f9cc31c7dc3c,,,plangrid/pen,QT725AZVMVUKV69K,2025-10-23 04:57:56.043194,QT725AZVMVUKV69K,2025-10-23 04:57:56.043194,f,,,
938088934,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,d8910463-aade-4606-bfb1-a249703a2ce9,,,plangrid/rect,QT725AZVMVUKV69K,2025-10-23 04:58:05.11957,QT725AZVMVUKV69K,2025-10-23 04:58:05.11957,f,,,
938089033,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,737ef27b-8f74-4063-a4fd-84ce48ba2c62,,,plangrid/rect,QT725AZVMVUKV69K,2025-10-23 04:58:38.104675,QT725AZVMVUKV69K,2025-10-23 04:58:38.104675,f,,,
938140008,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,42917e60-a5d8-46b9-a2d1-8760404f7655,caec0ebc-1894-4012-b416-5df73f9066e7,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-23 09:09:48.624371,QT725AZVMVUKV69K,2025-10-23 09:09:48.624371,f,,,CM
938141247,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,ee3b3a28-57a4-4b25-a49e-6343343a739d,45f0660f-0c04-4ab8-8704-c97cfef18326,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-23 09:17:01.010579,QT725AZVMVUKV69K,2025-10-23 09:17:01.010579,f,,,
943170439,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,993f710e-9902-4e0b-bd46-adbcdd69f132,a6f15d80-cd63-48fa-9e1c-bd5bce0aa752,issue,plangrid/stamp,SD5HNG6GDE7T,2025-10-27 00:31:08.784249,SD5HNG6GDE7T,2025-10-27 00:31:08.784249,f,,,
943193063,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,8399fa7a-5241-4934-9464-d0859375f818,03eda37d-9ac6-468f-bb03-54d5b06746a8,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-27 01:48:39.136992,QT725AZVMVUKV69K,2025-10-27 01:48:39.136992,f,,,
943270376,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,3764de9b-b350-4d41-8899-a995f3d6f0e8,,,plangrid/polygon,QT725AZVMVUKV69K,2025-10-27 06:31:32.392652,QT725AZVMVUKV69K,2025-10-27 06:34:13.551426,f,,,
943270414,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,175b8480-5586-4c0d-b86a-1c54f7afa892,e7f78866-9fd7-47d3-b13f-3289ef98f747,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-27 06:31:44.285402,QT725AZVMVUKV69K,2025-10-27 06:31:44.285402,f,,,tet
943270452,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,fc84ad1d-6193-472b-8cdb-35777044cb85,d9ca9902-dd6d-4a98-92f3-51e84a342842,issue,plangrid/stamp,QT725AZVMVUKV69K,2025-10-27 06:31:55.853379,QT725AZVMVUKV69K,2025-10-27 06:31:55.853379,f,,,tet
943270575,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,717adbd1-fb1a-4170-b804-0162e930dbd8,,,plangrid/boxArrowText,QT725AZVMVUKV69K,2025-10-27 06:32:48.689074,QT725AZVMVUKV69K,2025-10-27 06:33:53.926568,f,,,添加文字
943270358,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,738c6fa5-5842-451e-94d0-0051682b21b9,,,plangrid/cloud,QT725AZVMVUKV69K,2025-10-27 06:31:25.904655,QT725AZVMVUKV69K,2025-10-27 06:34:23.717557,f,,,
